PLAYER,SEASON,FGM,FGA,TPM,TPA,FTM,FTA
Austin Croshere,2007,78,222,26,91,45,52
Raef LaFrentz,2007,39,102,2,23,20,26
Sergio Rodriguez,2007,101,239,24,85,21,26
Luke Jackson,2007,19,43,5,17,5,9
Andray Blatche,2007,86,197,4,27,30,49
Mike Wilks,2007,66,141,5,15,33,42
Thabo Sefolosha,2007,109,256,15,42,23,45
Michael Doleac,2007,82,175,0,1,36,41
Bracey Wright,2007,24,60,6,20,13,18
DerMarr Johnson,2007,50,154,19,88,16,21
Dan Dickau,2007,54,151,16,61,42,53
Chris Quinn,2007,48,131,20,57,25,37
Ronnie Price,2007,67,172,21,65,37,55
John Lucas III,2007,62,156,15,59,15,19
Solomon Jones,2007,65,128,0,1,59,75
Stephen Graham,2007,17,40,3,11,8,9
Shannon Brown,2007,28,74,7,25,10,14
Shammond Williams,2007,35,86,20,50,4,6
Ira Newble,2007,16,37,8,15,6,10
Darrick Martin,2007,33,94,13,37,15,21
Slava Medvedenko,2007,12,29,1,2,17,20
Jacque Vaughn,2007,71,167,1,2,49,65
Royal Ivey,2007,64,143,5,16,24,35
Malik Rose,2007,74,186,2,8,42,52
Maceo Baston,2007,49,76,3,7,37,47
Daniel Ewing,2007,65,161,14,44,35,45
Hassan Adams,2007,75,135,0,1,24,36
Danny Fortson,2007,15,30,0,1,10,13
Quincy Douby,2007,48,126,12,50,11,15
Dijon Thompson,2007,6,15,0,2,5,6
Vassilis Spanoulis,2007,23,72,5,29,34,42
CJ Miles,2007,40,116,7,32,14,23
David Noel,2007,65,177,17,53,37,43
Donell Taylor,2007,56,140,3,17,11,21
Roger Mason Jr.,2007,59,179,33,102,14,16
Pat Burke,2007,23,65,6,22,8,13
Eric Williams,2007,19,47,8,19,8,14
Adrian Griffin,2007,61,129,0,6,15,19
Bobby Jones,2007,43,93,1,9,23,41
Rawle Marshall,2007,32,89,4,18,31,45
Andre Brown,2007,42,74,0,1,9,15
Eric Piatkowski,2007,9,25,7,18,2,2
Jose Juan Barea,2007,28,78,6,21,16,24
DeSagana Diop,2007,71,151,0,1,48,86
Earl Barron,2007,24,83,0,1,17,18
Jumaine Jones,2007,14,51,10,32,2,2
Viktor Khryapa,2007,27,70,0,6,19,26
Maurice Ager,2007,22,70,5,15,20,33
Pat Garrity,2007,22,70,11,32,16,18
Jason Collins,2007,55,151,0,2,59,127
Matt Freije,2007,16,54,3,22,5,6
David Wesley,2007,22,75,9,38,20,28
Sean Marks,2007,2,6,0,1,2,2
Brandon Bass,2007,15,44,0,1,12,16
Aaron Williams,2007,29,53,0,1,18,22
Bernard Robinson,2007,19,62,0,2,23,27
Dee Brown,2007,32,98,6,28,24,37
Uros Slokar,2007,14,26,1,2,9,13
Doug Christie,2007,5,17,1,6,2,3
Will Blalock,2007,9,30,1,5,6,6
Damir Markota,2007,19,52,6,16,7,11
Marcus Vinicius,2007,7,15,3,7,5,7
Desmon Farmer,2007,5,15,2,8,1,1
James Singleton,2007,30,82,3,14,22,29
Calvin Booth,2007,31,66,1,2,6,10
Orien Greene,2007,23,62,2,11,15,25
Scott Padgett,2007,16,56,8,33,6,13
Steve Novak,2007,18,50,13,39,2,2
Eddie Griffin,2007,7,27,0,1,4,5
Ivan McFarlin,2007,5,13,0,1,5,7
Yaroslav Korolev,2007,4,16,1,5,3,6
Cedric Bozeman,2007,11,39,2,13,2,6
Jamal Sampson,2007,9,14,0,1,6,14
Alvin Williams,2007,0,2,0,1,2,4
Roger Powell,2007,0,3,0,1,2,2
Kobe Bryant,2006,978,2173,180,518,696,819
Allen Iverson,2006,815,1822,72,223,675,829
LeBron James,2006,875,1823,127,379,601,814
Gilbert Arenas,2006,746,1668,199,540,655,799
Dwyane Wade,2006,699,1413,13,76,629,803
Paul Pierce,2006,689,1462,111,314,627,812
Dirk Nowitzki,2006,751,1564,110,271,539,598
Carmelo Anthony,2006,756,1572,37,152,573,709
Michael Redd,2006,682,1516,163,413,501,571
Ray Allen,2006,681,1500,269,653,324,359
Elton Brand,2006,756,1435,1,3,440,568
Tracy McGrady,2006,410,1011,73,234,254,340
Vince Carter,2006,653,1518,125,367,480,601
Jason Richardson,2006,641,1438,183,477,276,410
Chris Bosh,2006,549,1087,0,13,474,581
Yao Ming,2006,467,900,0,1,337,395
Shawn Marion,2006,716,1365,96,290,241,298
Kevin Garnett,2006,626,1191,8,30,396,489
Mike Bibby,2006,597,1382,192,497,342,403
Antawn Jamison,2006,660,1494,147,373,217,297
Pau Gasol,2006,600,1194,3,12,425,617
Mike James,2006,576,1228,169,382,283,338
Chris Webber,2006,617,1422,21,77,263,348
Joe Johnson,2006,632,1395,128,360,261,330
Richard Hamilton,2006,649,1322,55,120,256,303
Rashard Lewis,2006,538,1151,142,370,350,428
Jermaine O'Neal,2006,380,805,3,10,261,368
Richard Jefferson,2006,495,1005,60,188,471,580
Ricky Davis,2006,584,1304,73,242,275,345
Wally Szczerbiak,2006,493,1012,102,255,278,310
Tony Parker,2006,623,1136,11,36,253,358
Steve Nash,2006,541,1056,150,342,257,279
Al Harrington,2006,551,1220,66,191,243,350
Tim Duncan,2006,574,1185,2,5,335,533
Chauncey Billups,2006,423,1012,184,425,465,520
Peja Stojakovic,2006,445,1018,162,404,238,260
Zach Randolph,2006,536,1229,16,55,245,343
Mehmet Okur,2006,519,1128,80,234,354,454
Baron Davis,2006,335,861,102,324,195,289
Corey Maggette,2006,167,375,24,71,212,256
Metta World Peace,2006,350,867,78,253,206,305
Caron Butler,2006,494,1086,41,120,289,332
Sam Cassell,2006,493,1112,70,190,289,335
Jason Terry,2006,516,1099,171,416,168,210
David West,2006,530,1036,3,11,199,236
Ben Gordon,2006,486,1152,166,382,212,270
Morris Peterson,2006,478,1096,177,448,241,294
Stephen Jackson,2006,472,1148,117,339,268,341
Stephon Marbury,2006,349,774,33,104,246,326
Chris Paul,2006,407,947,50,177,394,465
Kirk Hinrich,2006,451,1078,126,341,256,314
Dwight Howard,2006,468,881,0,2,356,598
Josh Howard,2006,350,743,27,63,196,267
Zydrunas Ilgauskas,2006,450,889,0,5,317,380
Larry Hughes,2006,192,469,28,76,146,193
Andrei Kirilenko,2006,336,730,36,117,346,495
Gerald Wallace,2006,317,589,14,50,188,306
Grant Hill,2006,119,243,2,8,78,102
Rasheed Wallace,2006,459,1067,155,434,136,183
Manu Ginobili,2006,309,669,83,217,280,360
Brad Miller,2006,434,877,34,88,280,338
Hedo Turkoglu,2006,398,877,114,283,255,296
Lamar Odom,2006,445,925,80,215,216,313
Cuttino Mobley,2006,429,1008,83,245,229,273
Raja Bell,2006,425,930,197,446,115,146
Jameer Nelson,2006,347,719,70,165,141,181
Steve Francis,2006,333,765,25,83,314,399
Jamal Crawford,2006,366,879,101,293,295,357
Luol Deng,2006,442,954,21,78,207,276
Tayshaun Prince,2006,455,999,64,183,182,238
Troy Murphy,2006,363,838,58,181,251,319
Darius Miles,2006,235,510,2,10,87,163
Andre Miller,2006,404,872,5,27,313,424
Mike Miller,2006,354,760,138,339,168,210
Bonzi Wells,2006,284,613,10,45,129,190
Nenad Krstic,2006,447,881,1,4,185,265
Bobby Simmons,2006,366,808,105,250,165,200
Boris Diaw,2006,449,853,8,30,174,238
Jason Kidd,2006,366,905,139,395,194,244
Derek Fisher,2006,364,887,117,295,244,293
Leandro Barbosa,2006,273,567,87,196,111,147
Jerry Stackhouse,2006,242,603,36,130,195,221
Charlie Villanueva,2006,435,940,70,214,113,160
Andres Nocioni,2006,383,831,93,238,204,242
Kenyon Martin,2006,297,600,5,22,121,170
Marcus Camby,2006,302,649,1,11,111,156
Brevin Knight,2006,308,772,3,13,252,314
Earl Boykins,2006,271,661,62,179,152,174
Matt Harpring,2006,322,678,14,39,227,313
Primoz Brezec,2006,409,791,0,2,164,224
Channing Frye,2006,305,640,3,9,189,229
Jason Williams,2006,268,606,107,288,85,98
Jalen Rose,2006,290,685,59,172,248,318
Shareef Abdur-Rahim,2006,332,632,5,22,218,278
Juan Dixon,2006,357,821,65,170,156,194
Andre Iguodala,2006,344,688,56,158,263,349
Speedy Claxton,2006,304,736,17,63,246,320
Antoine Walker,2006,391,898,137,383,81,129
T.J. Ford,2006,328,789,35,104,187,248
Mo Williams,2006,267,629,73,191,96,113
Ruben Patterson,2006,327,635,1,13,203,338
Rafer Alston,2006,280,738,102,312,99,143
Chris Kaman,2006,369,706,0,2,194,252
Raymond Felton,2006,345,883,97,271,161,222
Eddie Jones,2006,292,722,133,374,168,215
Juwan Howard,2006,394,859,0,4,154,191
Delonte West,2006,333,684,84,218,86,101
Damon Stoudamire,2006,114,287,36,104,53,62
Zaza Pachulia,2006,307,681,0,2,297,404
Luke Ridnour,2006,334,799,43,149,199,227
Mike Dunleavy,2006,331,816,74,260,196,252
Smush Parker,2006,348,779,120,328,125,180
Kyle Korver,2006,327,761,184,438,101,119
Bobby Jackson,2006,286,748,129,332,107,146
Josh Smith,2006,329,774,34,110,210,292
Ronald Murray,2006,321,768,37,141,172,242
DeShawn Stevenson,2006,359,781,2,15,180,242
Tyronn Lue,2006,192,418,58,127,118,138
Kevin Martin,2006,262,546,66,179,188,222
Desmond Mason,2006,275,690,1,6,206,302
Deron Williams,2006,339,805,91,219,95,135
Drew Gooden,2006,334,652,1,3,176,258
Gordan Giricek,2006,166,383,18,59,43,57
Jumaine Jones,2006,298,736,115,335,88,121
Tim Thomas,2006,113,262,46,111,28,42
Marquis Daniels,2006,246,512,4,19,138,183
Michael Finley,2006,286,695,110,279,98,115
Shane Battier,2006,303,621,65,165,147,208
Kareem Rush,2006,181,469,57,164,55,77
Josh Childress,2006,278,504,32,65,154,201
Marcus Banks,2006,219,468,22,63,118,147
David Wesley,2006,226,561,99,271,151,187
Devin Harris,2006,190,405,5,21,169,236
Eddie House,2006,320,759,123,316,33,41
Melvin Ely,2006,216,425,0,2,128,192
Vladimir Radmanovic,2006,262,643,138,354,93,114
Antonio Daniels,2006,230,550,23,101,284,336
Salim Stoudamire,2006,204,492,82,216,99,110
Fred Jones,2006,233,559,63,187,122,160
Chucky Atkins,2006,226,573,97,274,129,163
Troy Hudson,2006,127,333,40,101,48,52
Sebastian Telfair,2006,228,578,57,162,130,175
Keyon Dooling,2006,178,405,13,43,101,121
Andrew Bogut,2006,323,606,0,3,122,194
Udonis Haslem,2006,300,591,0,2,157,199
Jarvis Hayes,2006,77,183,17,47,25,30
James Jones,2006,243,581,110,285,103,121
Nate Robinson,2006,230,565,58,146,152,202
Jamaal Tinsley,2006,158,386,16,70,58,91
Donyell Marshall,2006,265,671,128,395,92,123
Mickael Pietrus,2006,169,418,56,176,87,143
Trenton Hassell,2006,286,616,7,23,131,176
Anthony Johnson,2006,267,603,51,155,106,141
Darius Songaila,2006,236,491,2,5,94,115
Kenny Thomas,2006,305,604,0,1,138,204
Keith Van Horn,2006,164,387,50,136,94,113
Earl Watson,2006,219,509,110,272,75,111
Stromile Swift,2006,225,458,0,2,136,209
Bracey Wright,2006,21,51,6,17,14,16
Luther Head,2006,254,630,113,313,86,123
Chris Duhon,2006,215,538,100,278,117,143
Rasual Butler,2006,257,633,92,242,79,114
Amar'e Stoudemire,2006,9,27,0,1,8,9
Keith Bogans,2006,215,544,65,200,127,186
Joe Smith,2006,145,305,0,2,89,115
Marvin Williams,2006,235,531,13,53,189,253
Charlie Bell,2006,180,410,71,168,63,89
Steve Blake,2006,206,470,76,184,72,91
Sean May,2006,70,171,0,5,49,64
Quentin Richardson,2006,163,459,64,188,61,91
Austin Croshere,2006,132,285,54,140,90,102
Chris Wilcox,2006,257,450,0,2,112,153
Derek Anderson,2006,108,303,40,134,93,111
Kirk Snyder,2006,205,453,46,129,86,117
Rashad McCants,2006,241,535,67,180,78,106
Brian Cook,2006,261,511,36,84,84,101
Tony Battie,2006,280,552,0,6,89,134
Al Jefferson,2006,189,379,0,4,86,134
Marko Jaric,2006,226,566,40,133,95,138
Alonzo Mourning,2006,188,315,0,1,133,224
Raef LaFrentz,2006,238,552,112,286,51,75
Antonio McDyess,2006,285,560,0,2,68,122
Gary Payton,2006,230,547,66,230,100,126
J.R. Smith,2006,144,366,52,140,83,101
Matt Carroll,2006,192,476,72,185,138,168
Tony Delk,2006,71,161,20,47,20,27
Ryan Gomes,2006,173,355,3,9,112,149
John Salmons,2006,219,521,26,87,155,200
Bruce Bowen,2006,232,536,104,245,51,84
Devin Brown,2006,207,527,39,118,158,212
Danny Granger,2006,221,478,30,93,115,148
Matt Bonner,2006,209,467,102,243,63,76
Nick Collison,2006,207,394,0,3,79,113
Kwame Brown,2006,204,388,0,1,128,235
Samuel Dalembert,2006,196,369,0,1,93,132
Voshon Lenard,2006,75,191,25,78,16,31
Sarunas Jasikevicius,2006,170,429,86,236,121,133
Ben Wallace,2006,237,465,0,4,123,296
Tony Allen,2006,129,274,11,34,100,134
James Posey,2006,159,395,117,290,48,61
Willie Green,2006,28,66,10,19,4,5
Clifford Robinson,2006,219,513,60,175,52,79
Monta Ellis,2006,132,318,28,82,42,59
Greg Buckner,2006,181,417,86,243,43,55
Damon Jones,2006,190,491,140,371,32,50
Qyntel Woods,2006,129,254,22,60,49,76
Marcus Fizer,2006,9,17,1,1,1,2
Amir Johnson,2006,7,10,2,3,4,4
Jarrett Jack,2006,189,428,20,76,128,160
Joey Graham,2006,198,414,29,87,108,133
Martell Webster,2006,139,348,65,182,61,71
Damien Wilkins,2006,193,435,14,56,136,162
Marc Jackson,2006,174,369,1,2,66,82
Bernard Robinson,2006,157,365,2,21,106,134
Jared Jeffries,2006,187,415,16,50,99,168
Devean George,2006,170,425,50,160,58,86
Maurice Taylor,2006,182,389,0,1,58,83
Milt Palacio,2006,171,403,1,16,98,150
DerMarr Johnson,2006,132,306,56,160,34,42
Jeff Foster,2006,138,250,0,4,96,159
Viktor Khryapa,2006,158,342,10,30,77,111
Carlos Arroyo,2006,168,378,7,20,106,137
Brent Barry,2006,156,345,80,202,39,59
Lorenzen Wright,2006,194,406,0,2,66,117
Travis Outlaw,2006,162,368,14,53,62,89
Shaun Livingston,2006,149,349,1,8,53,77
Alan Anderson,2006,75,181,24,58,33,41
Francisco Garcia,2006,130,325,39,137,78,101
Reggie Evans,2006,131,268,0,1,115,217
Keith McLeod,2006,120,340,24,82,106,133
Nick Van Exel,2006,136,343,55,154,28,41
Jose Calderon,2006,132,312,7,43,78,92
Eduardo Najera,2006,127,301,4,12,89,114
Jeff McInnis,2006,63,143,3,16,20,29
Jake Voskuhl,2006,114,261,1,3,41,60
Tyson Chandler,2006,160,283,0,1,97,193
Gerald Green,2006,66,138,6,20,29,37
Kendrick Perkins,2006,137,266,0,2,80,130
Dan Gadzuric,2006,171,309,0,1,41,89
Robert Horry,2006,112,292,53,144,44,68
Beno Udrih,2006,106,233,24,70,39,50
Maurice Evans,2006,154,341,43,116,52,65
Luke Walton,2006,135,328,18,55,57,76
Pat Garrity,2006,101,242,50,129,30,37
Malik Allen,2006,121,247,1,1,23,38
Antonio Davis,2006,82,190,0,1,52,81
Francisco Elson,2006,151,284,1,5,49,74
Toni Kukoc,2006,116,298,45,147,40,56
Darko Milicic,2006,119,234,0,2,28,50
Jannero Pargo,2006,109,292,39,103,17,21
Eric Snow,2006,163,399,1,10,64,93
Quinton Ross,2006,130,308,0,7,57,75
Gerald Fitch,2006,30,89,7,26,17,23
Trevor Ariza,2006,93,226,1,5,77,127
Andre Barrett,2006,38,104,2,14,9,12
Eddie Griffin,2006,130,370,16,82,44,74
Anderson Varejao,2006,79,150,0,1,61,119
Adrian Griffin,2006,98,204,0,2,41,53
Sasha Pavlovic,2006,87,212,35,96,32,49
Rasho Nesterovic,2006,172,334,0,2,18,30
Justin Reed,2006,119,295,0,1,87,120
Malik Rose,2006,105,281,1,1,107,137
Bostjan Nachbar,2006,54,156,19,71,30,44
Jiri Welsch,2006,86,222,14,49,65,87
Anthony Grundy,2006,19,38,5,15,9,14
Jon Barry,2006,25,65,12,32,24,29
Linton Johnson,2006,61,149,13,36,18,27
Laron Profit,2006,40,84,3,18,21,24
Jason Kapono,2006,79,177,21,53,28,33
Dahntay Jones,2006,109,263,3,21,60,93
Sasha Vujacic,2006,108,312,59,172,46,52
Travis Diener,2006,29,69,25,57,5,6
Daniel Ewing,2006,97,255,22,78,36,46
Doug Christie,2006,9,26,0,1,8,12
Charles Hayes,2006,59,105,0,1,29,45
Charles Smith,2006,30,72,15,38,5,8
Carlos Delfino,2006,91,226,20,60,45,67
Will Bynum,2006,21,52,2,9,10,16
Jason Collins,2006,104,262,3,12,44,86
Royal Ivey,2006,116,264,4,10,24,33
Linas Kleiza,2006,77,173,2,13,57,81
Brian Cardinal,2006,46,111,13,29,19,27
James Singleton,2006,77,151,10,20,39,50
Lamond Murray,2006,72,181,27,78,25,40
Jacque Vaughn,2006,107,245,1,6,59,81
CJ Miles,2006,28,76,5,20,18,24
Zoran Planinic,2006,66,183,13,56,46,66
Corliss Williamson,2006,43,103,2,2,38,49
Scott Padgett,2006,71,201,42,121,27,34
Pat Burke,2006,63,127,2,7,13,21
Anthony Carter,2006,53,137,4,15,40,55
Jason Hart,2006,86,221,9,31,37,56
Mikki Moore,2006,54,124,0,2,46,62
Richie Frahm,2006,39,100,23,70,7,10
Dan Dickau,2006,17,46,10,20,18,18
Zarko Cabarkapa,2006,67,174,5,20,60,84
Eric Williams,2006,29,75,5,18,28,38
Sean Marks,2006,37,71,0,3,7,12
Orien Greene,2006,100,253,9,40,45,68
Howard Eisley,2006,34,103,13,42,20,24
Matt Barnes,2006,70,140,3,15,32,47
Rawle Marshall,2006,24,60,1,3,22,29
Kris Humphries,2006,77,203,0,5,34,65
Jim Jackson,2006,47,160,18,74,9,13
Andre Owens,2006,27,74,3,16,12,18
Sergei Monia,2006,29,87,9,34,10,14
Dorell Wright,2006,20,43,3,6,15,17
Lindsey Hunter,2006,37,100,11,43,2,4
Brian Scalabrine,2006,74,193,31,87,26,36
Dijon Thompson,2006,11,25,4,11,2,2
Moochie Norris,2006,46,112,4,14,29,42
Stephen Graham,2006,21,54,2,10,14,15
Donell Taylor,2006,53,136,4,17,30,43
Ime Udoka,2006,9,24,1,3,3,6
Kevin Ollie,2006,75,174,1,3,41,49
Mateen Cleaves,2006,25,71,4,16,19,24
Luke Jackson,2006,29,85,12,36,26,33
Shandon Anderson,2006,54,126,5,19,13,18
Melvin Sanders,2006,16,33,2,3,7,10
Darrick Martin,2006,34,97,16,40,18,24
Anfernee Hardaway,2006,4,14,0,1,2,2
Walter McCarty,2006,33,99,10,45,12,21
DeSagana Diop,2006,75,154,1,2,39,72
Rafael Araujo,2006,53,145,0,1,15,28
Arvydas Macijauskas,2006,14,41,3,12,13,15
Loren Woods,2006,28,59,0,1,6,14
Boniface N'Dong,2006,22,53,0,1,6,9
Billy Thomas,2006,13,40,10,30,2,2
Andray Blatche,2006,26,67,3,13,10,12
Ronald Dupree,2006,33,63,0,1,14,41
Anthony Roberson,2006,14,31,5,10,2,2
Calbert Cheaney,2006,42,108,0,8,8,8
Nikoloz Tskitishvili,2006,13,37,1,3,9,14
Darrell Armstrong,2006,43,128,11,48,33,42
Ronnie Price,2006,21,58,6,27,12,12
Eddie Basden,2006,15,37,1,7,8,10
Eric Piatkowski,2006,24,61,9,33,2,5
Rick Brunson,2006,21,54,5,13,7,12
Antonio Burks,2006,51,144,1,6,10,23
Louis Williams,2006,23,52,2,9,8,13
Mike Wilks,2006,29,90,3,19,25,41
Kevin Burleson,2006,22,88,10,54,16,17
Antoine Wright,2006,29,81,1,15,11,22
Esteban Batista,2006,34,80,0,1,33,53
Fabricio Oberto,2006,44,93,0,2,15,27
DJ Mbenga,2006,32,60,0,1,10,20
Awvee Storey,2006,16,41,3,7,8,14
Donta Smith,2006,15,27,2,4,6,12
Terence Morris,2006,16,49,0,2,3,3
Lawrence Roberts,2006,20,44,0,2,11,23
Noel Felix,2006,6,25,1,3,5,8
Michael Bradley,2006,32,79,1,5,2,3
Calvin Booth,2006,20,47,1,2,5,9
Michael Ruffin,2006,34,77,0,2,37,74
Ira Newble,2006,17,57,3,13,11,16
Ryan Bowen,2006,37,124,3,22,11,14
Von Wafer,2006,6,38,2,17,6,8
Mark Madsen,2006,27,66,0,7,20,47
Jermaine Jackson,2006,11,26,1,4,12,14
Yaroslav Korolev,2006,9,30,2,7,7,10
Eddie Gill,2006,10,45,7,23,18,23
Reece Gaines,2006,6,12,0,2,1,4
Alvin Williams,2006,0,3,0,2,1,2
Josh Davis,2006,2,7,0,2,2,3
Dale Davis,2006,9,24,0,1,8,15
Devin Green,2006,6,28,0,2,13,21
Aaron McKie,2006,3,12,0,2,1,2
Allen Iverson,2005,771,1818,104,338,656,786
Kobe Bryant,2005,573,1324,131,387,542,664
LeBron James,2005,795,1684,108,308,477,636
Dirk Nowitzki,2005,663,1445,91,228,615,708
Amar'e Stoudemire,2005,747,1336,3,16,583,795
Tracy McGrady,2005,715,1660,142,435,431,557
Gilbert Arenas,2005,656,1523,205,562,521,640
Metta World Peace,2005,59,119,7,17,47,51
Vince Carter,2005,696,1541,127,313,367,460
Jermaine O'Neal,2005,386,854,1,6,295,391
Dwyane Wade,2005,630,1318,13,45,581,762
Ray Allen,2005,640,1494,209,556,378,428
Michael Redd,2005,625,1418,104,293,369,432
Richard Jefferson,2005,238,564,30,89,227,269
Corey Maggette,2005,425,986,51,168,563,657
Kevin Garnett,2005,683,1360,6,25,445,549
Larry Hughes,2005,467,1086,59,209,352,453
Stephon Marbury,2005,604,1308,115,325,458,549
Jason Richardson,2005,610,1368,125,370,214,309
Paul Pierce,2005,556,1223,108,292,549,668
Steve Francis,2005,563,1330,38,127,499,606
Carmelo Anthony,2005,530,1230,42,158,456,573
Rashard Lewis,2005,532,1151,173,432,220,283
Tim Duncan,2005,517,1042,3,9,305,455
Peja Stojakovic,2005,451,1016,174,433,253,275
Elton Brand,2005,629,1251,0,3,364,484
Grant Hill,2005,517,1015,3,13,280,341
Mike Bibby,2005,560,1264,131,364,320,413
Antawn Jamison,2005,519,1189,71,208,225,296
Chris Webber,2005,555,1283,15,44,181,228
Shawn Marion,2005,613,1289,114,341,229,275
Baron Davis,2005,291,752,118,354,185,243
Antoine Walker,2005,581,1377,110,341,201,373
Zach Randolph,2005,332,741,0,6,207,254
Richard Hamilton,2005,510,1160,36,118,368,429
Stephen Jackson,2005,330,819,103,286,190,229
Jalen Rose,2005,527,1159,108,274,333,390
Carlos Boozer,2005,361,693,0,1,187,268
Pau Gasol,2005,357,695,1,6,282,367
Jamal Crawford,2005,437,1097,185,512,182,216
Al Harrington,2005,453,986,16,74,236,351
Desmond Mason,2005,478,1079,1,8,420,524
Cuttino Mobley,2005,408,932,150,342,168,205
Joe Johnson,2005,544,1179,177,370,135,180
Zydrunas Ilgauskas,2005,458,979,2,7,402,503
Shareef Abdur-Rahim,2005,337,670,15,39,220,254
Chris Bosh,2005,473,1005,3,10,412,542
Tony Parker,2005,539,1118,43,156,210,323
Chauncey Billups,2005,404,913,165,387,343,382
Bobby Simmons,2005,474,1017,50,115,231,273
Manu Ginobili,2005,367,780,97,258,355,442
Ricky Davis,2005,481,1041,61,180,286,351
Damon Stoudamire,2005,457,1165,181,490,182,199
Michael Finley,2005,387,907,116,285,113,136
Kirk Hinrich,2005,445,1122,145,408,171,216
Brad Miller,2005,319,609,5,19,233,287
Andrei Kirilenko,2005,207,420,23,77,203,259
Steve Nash,2005,430,857,94,218,211,238
Kenyon Martin,2005,444,907,0,12,199,308
Caron Butler,2005,441,991,38,125,275,319
Wally Szczerbiak,2005,465,919,63,169,260,304
Jamaal Tinsley,2005,218,522,58,156,122,164
Troy Murphy,2005,392,947,59,148,233,319
Lamar Odom,2005,366,774,36,117,207,298
Emeka Okafor,2005,448,1003,0,1,209,343
Ben Gordon,2005,434,1056,134,331,233,270
Quentin Richardson,2005,407,1045,226,631,136,184
Jerry Stackhouse,2005,274,662,32,120,253,298
Reggie Miller,2005,314,719,96,298,250,268
Tayshaun Prince,2005,469,963,47,138,221,274
Rasheed Wallace,2005,467,1062,75,236,136,195
Drew Gooden,2005,464,943,5,28,251,310
Jason Kidd,2005,340,855,129,358,142,192
Rafer Alston,2005,403,974,139,389,191,258
Lee Nailon,2005,415,869,0,2,133,165
Hedo Turkoglu,2005,328,782,93,245,188,225
Matt Harpring,2005,418,855,9,43,245,315
Chucky Atkins,2005,388,910,176,455,163,203
Andre Miller,2005,427,895,6,39,253,302
Sam Cassell,2005,319,687,27,103,134,155
Ndudi Ebi,2005,11,21,0,1,5,9
Mike Miller,2005,387,766,140,323,108,150
Mike Dunleavy,2005,408,905,107,276,134,172
Mehmet Okur,2005,354,756,17,63,329,387
Darius Miles,2005,336,697,8,23,129,215
Jeff McInnis,2005,377,915,91,264,130,160
Latrell Sprewell,2005,398,961,69,211,156,188
Eddie Jones,2005,351,820,142,382,174,216
Josh Howard,2005,377,793,34,115,170,232
Morris Peterson,2005,356,848,129,335,188,226
Dan Dickau,2005,306,756,85,245,190,228
Kenny Thomas,2005,367,781,1,5,173,227
Jason Terry,2005,372,743,103,245,146,173
Earl Boykins,2005,340,824,56,166,279,303
Raja Bell,2005,303,667,54,134,112,150
Bobby Jackson,2005,109,255,33,96,50,58
Tim Thomas,2005,315,718,85,208,136,173
Dwight Howard,2005,352,677,0,2,277,413
Marc Jackson,2005,340,731,0,2,289,349
Tony Delk,2005,246,591,72,202,103,136
Allan Houston,2005,85,205,31,80,36,43
David Wesley,2005,334,840,118,315,162,189
Derek Fisher,2005,297,755,108,291,175,203
Vladimir Radmanovic,2005,267,651,128,329,81,103
Mike James,2005,331,751,100,259,109,145
Luol Deng,2005,280,645,31,117,120,162
Damon Jones,2005,331,726,225,521,68,86
Ruben Patterson,2005,319,601,2,25,169,282
Kyle Korver,2005,317,759,226,558,82,96
Donyell Marshall,2005,262,592,151,363,72,91
Speedy Claxton,2005,257,611,11,61,187,254
Kurt Thomas,2005,424,901,2,4,66,84
Gary Payton,2005,339,725,42,129,153,201
Tyronn Lue,2005,295,654,55,155,142,165
Antonio Daniels,2005,273,623,49,165,248,304
Keith Van Horn,2005,257,564,54,142,128,157
Gerald Wallace,2005,286,637,17,62,191,289
Nick Van Exel,2005,214,561,100,257,58,74
Raef LaFrentz,2005,341,688,82,225,120,148
Joe Smith,2005,319,621,0,1,175,228
Udonis Haslem,2005,346,641,0,4,178,225
Fred Jones,2005,275,647,87,229,176,207
Jim Jackson,2005,248,582,122,295,54,58
Bonzi Wells,2005,272,617,36,104,141,188
Marcus Camby,2005,279,600,0,4,125,173
J.R. Smith,2005,295,748,81,281,111,161
Corliss Williamson,2005,273,584,0,2,195,244
Bob Sura,2005,215,504,55,155,141,188
Jarvis Hayes,2005,206,530,42,123,99,118
Mo Williams,2005,323,737,32,99,136,160
Jason Williams,2005,266,644,107,330,80,101
Josh Childress,2005,302,642,13,56,190,231
Brevin Knight,2005,248,587,3,20,167,196
Stromile Swift,2005,219,488,0,4,166,219
Luke Ridnour,2005,299,739,67,178,159,180
Glenn Robinson,2005,34,77,2,6,20,23
Nenad Krstic,2005,281,570,0,2,185,255
Shane Battier,2005,271,613,70,177,180,228
Marko Jaric,2005,189,457,56,151,59,82
Chris Mihm,2005,280,552,0,2,175,258
Ben Wallace,2005,295,651,1,9,130,304
Voshon Lenard,2005,10,26,4,12,5,8
Josh Smith,2005,274,602,4,23,163,237
Keith Bogans,2005,262,688,57,173,133,183
Lorenzen Wright,2005,320,683,0,3,131,198
Antonio McDyess,2005,307,598,0,1,126,192
Nene,2005,194,386,0,2,140,212
Juwan Howard,2005,244,541,0,1,97,115
Jason Hart,2005,257,573,35,95,157,200
Nazr Mohammed,2005,289,602,0,1,153,227
Mickael Pietrus,2005,214,501,67,195,141,202
