PLAYER,SEASON,FGM,FGA,TPM,TPA,FTM,FTA
Austin Rivers,2016,226,516,62,185,79,116
Jordan Hill,2016,278,548,0,1,89,125
Jeremy Lamb,2016,230,510,56,181,64,88
Cody Zeller,2016,231,437,1,10,175,232
Luis Scola,2016,269,598,65,161,61,84
Toney Douglas,2016,184,446,81,203,84,99
Tyler Johnson,2016,118,242,27,70,51,64
Terrence Jones,2016,166,367,25,79,77,116
Gerald Henderson,2016,232,529,48,137,112,146
Shelvin Mack,2016,182,415,39,124,45,61
Taj Gibson,2016,263,501,0,3,101,146
Tim Duncan,2016,215,442,0,2,92,131
Zaza Pachulia,2016,219,470,0,3,212,276
Patty Mills,2016,260,612,123,320,47,58
Cory Joseph,2016,257,585,30,110,133,174
Jon Leuer,2016,224,466,42,110,77,101
Nik Stauskas,2016,210,545,106,325,91,118
Tony Wroten,2016,22,65,3,17,20,37
Tony Allen,2016,215,469,15,42,90,138
Meyers Leonard,2016,194,434,86,228,35,46
Lance Stephenson,2016,228,474,30,78,87,111
Mo Williams,2016,132,302,36,102,38,42
Jusuf Nurkic,2016,101,242,0,3,61,99
Lance Thomas,2016,169,382,44,109,102,119
Stanley Johnson,2016,225,600,63,205,80,102
PJ Tucker,2016,239,582,68,206,106,142
Jared Dudley,2016,233,487,100,239,72,98
Joffrey Lauvergne,2016,195,380,13,53,62,69
O.J. Mayo,2016,119,321,52,162,31,40
Ben McLemore,2016,195,455,67,185,74,103
David Lee,2016,178,335,0,1,71,93
Wayne Ellington,2016,218,561,96,268,54,63
Jameer Nelson,2016,113,307,43,144,30,35
Langston Galloway,2016,231,588,77,224,86,114
Devin Harris,2016,167,374,52,158,101,140
Jose Calderon,2016,209,452,84,202,42,48
Darrell Arthur,2016,221,489,45,117,40,53
D.J. Augustin,2016,148,350,68,169,103,128
E'Twaun Moore,2016,187,389,47,104,22,35
Matthew Dellavedova,2016,207,511,98,239,57,66
Frank Kaminsky,2016,215,525,68,202,108,148
JaMychal Green,2016,230,495,15,45,103,137
Jodie Meeks,2016,7,20,4,9,4,4
Amir Johnson,2016,250,427,10,43,69,121
Garrett Temple,2016,201,505,89,257,91,125
Nick Young,2016,126,372,77,237,63,76
Shane Larkin,2016,222,503,39,109,83,107
James Ennis,2016,54,113,26,58,25,34
Danny Green,2016,210,559,116,349,34,46
Corey Brewer,2016,212,552,61,225,105,140
Jason Smith,2016,244,503,4,16,54,67
Brandon Bass,2016,174,317,0,2,125,148
Mike Dunleavy,2016,77,188,39,99,29,37
Tyson Chandler,2016,183,314,0,1,106,171
Aaron Brooks,2016,188,470,66,185,49,64
Marreese Speights,2016,197,456,24,62,94,114
David West,2016,244,448,3,7,63,80
Clint Capela,2016,231,397,0,1,80,211
