PLAYER,SEASON,FGM,FGA,TPM,TPA,FTM,FTA,FGP,TPP,FTP,eFGP,PTS,TSP
Karl-Anthony Towns,2016,625,1152,30,88,223,275,0.5425347222222222,0.3409090909090909,0.8109090909090909,0.5555555555555556,1503,0.5903377847604084
Dirk Nowitzki,2016,498,1112,126,342,250,280,0.447841726618705,0.3684210526315789,0.8928571428571429,0.5044964028776978,1372,0.5553756476683938
Nikola Vucevic,2016,533,1046,2,9,113,150,0.5095602294455067,0.2222222222222222,0.7533333333333333,0.5105162523900574,1181,0.5310251798561151
Khris Middleton,2016,507,1143,143,361,277,312,0.4435695538057743,0.3961218836565097,0.8878205128205128,0.5061242344706912,1434,0.5600337426188021
LaMarcus Aldridge,2016,536,1045,0,16,259,302,0.5129186602870813,0,0.8576158940397351,0.5129186602870813,1331,0.5649981322375793
Kobe Bryant,2016,398,1112,133,466,232,281,0.3579136690647482,0.2854077253218884,0.8256227758007118,0.4177158273381295,1161,0.4697970282606584
Jahlil Okafor,2016,397,781,1,6,133,194,0.5083226632522407,0.16666666666666666,0.6855670103092784,0.5089628681177977,928,0.5355741262292811
Bradley Beal,2016,359,799,105,271,135,176,0.4493116395494368,0.3874538745387454,0.7670454545454546,0.5150187734668336,958,0.5465291406143032
Rudy Gay,2016,466,1007,74,215,198,254,0.4627606752730884,0.34418604651162793,0.7795275590551181,0.49950347567030784,1204,0.5380957488648146
Paul Millsap,2016,500,1064,74,231,306,405,0.4699248120300752,0.3203463203463203,0.7555555555555555,0.5046992481203008,1380,0.555466108517147
Ryan Anderson,2016,397,928,131,358,199,228,0.42780172413793105,0.3659217877094972,0.8728070175438597,0.4983836206896552,1124,0.5465224832736891
Giannis Antetokounmpo,2016,513,1013,28,110,296,409,0.506416584402764,0.2545454545454545,0.7237163814180929,0.5202369200394866,1350,0.565819474248927
