Season,Player,Pos,Age,Tm,G,GS,MP,FGM,FGA,TPM,TPA,FTM,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS
2016,Dewayne Dedmon,C,26,ORL,58,20,705,99,177,0,0,57,76,67,161,13,22,46,32,109,255
2016,Bryce Dejean-Jones,SG,23,NOP,14,11,279,28,69,12,32,11,21,8,40,15,10,2,11,17,79
2016,Sam Dekker,SF,21,HOU,3,0,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2016,Matthew Dellavedova,PG,25,CLE,76,14,1867,207,511,98,239,57,66,33,129,337,44,9,116,178,569
2016,Luol Deng,PF,30,MIA,74,73,2394,339,745,88,256,145,192,108,335,140,74,29,81,122,911
2016,DeMar DeRozan,SG,26,TOR,78,78,2804,614,1377,47,139,555,653,64,285,315,81,21,175,167,1830
2016,Boris Diaw,PF,33,SAS,76,4,1386,202,383,25,69,56,76,58,175,176,26,21,97,102,485
2016,Gorgui Dieng,C,26,MIN,82,39,2220,308,579,6,20,205,248,157,428,143,94,96,140,219,827
2016,Spencer Dinwiddie,PG,22,DET,12,0,159,19,54,1,10,19,33,4,13,22,3,0,7,20,58
2016,Toney Douglas,PG,29,NOP,61,18,1262,183,445,81,203,84,99,25,118,157,70,5,64,131,531
2016,Goran Dragic,PG,29,MIA,72,72,2363,417,875,64,205,120,165,54,223,419,71,17,185,188,1018
2016,Andre Drummond,C,22,DET,81,81,2666,552,1060,2,6,208,586,395,803,67,119,112,155,245,1314
2016,Jared Dudley,PF,30,WAS,81,41,2098,233,487,100,238,72,98,54,232,170,75,18,80,190,638
2016,Duje Dukan,SF,24,SAC,1,0,24,2,10,2,5,0,0,2,2,1,1,0,0,2,6
2016,Tim Duncan,C,39,SAS,61,60,1536,215,441,0,2,92,131,115,332,163,47,78,90,125,522
2016,Mike Dunleavy,SF,35,CHI,31,30,703,77,188,39,99,29,37,8,75,39,14,10,26,66,222
2016,Kevin Durant,SF,27,OKC,72,72,2578,698,1381,186,481,447,498,45,544,361,69,85,250,137,2029
2016,Cleanthony Early,SF,24,NYK,17,2,154,12,40,4,15,3,4,4,22,6,2,3,9,16,31
2016,Jarell Eddie,SF,24,WAS,26,0,147,20,65,15,47,8,8,2,21,5,5,1,1,5,63
2016,Wayne Ellington,SG,28,BRK,76,41,1615,218,561,96,268,54,63,20,154,83,48,5,45,82,586
2016,Monta Ellis,SG,30,IND,81,81,2734,436,1021,87,282,162,206,42,229,383,150,37,203,174,1121
2016,James Ennis,SF,25,TOT,22,5,329,54,113,26,58,25,34,21,21,21,16,5,19,28,159
2016,James Ennis,SF,25,MIA,3,0,7,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2016,James Ennis,SF,25,MEM,10,0,40,4,13,2,8,6,10,4,3,2,4,2,2,1,16
2016,James Ennis,SF,25,NOP,9,5,282,50,100,24,50,19,24,17,18,18,12,3,17,26,143
2016,Tyler Ennis,PG,21,MIL,46,7,654,84,187,13,39,25,34,13,62,95,25,1,46,64,206
