playerID,yearID,stint,teamID,lgID,G,AB,PA,R,H,X2B,X3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
purcebl01,1887,1,BL2,AA,140,567,623,101,142,25,8,4,96,88,,46,,,10,,,
radfopa01,1887,1,NY4,AA,128,486,598,127,129,15,5,4,45,73,,106,,,6,,,
reilljo01,1887,1,CN2,AA,134,551,588,106,170,35,14,10,96,50,,22,,,15,,,
richaha01,1887,1,DTN,NL,120,543,576,131,178,25,18,8,94,29,,31,40,,2,,,
robinya01,1887,1,SL4,AA,125,430,539,102,131,32,4,1,74,75,,92,,,17,,,
roweja01,1887,1,DTN,NL,124,537,579,135,171,30,10,6,96,22,,39,11,,3,,,
ryanji01,1887,1,CHN,NL,126,508,567,117,145,23,10,11,74,50,,53,19,,6,,,
seeryem01,1887,1,IN3,NL,122,465,540,104,104,18,15,4,28,48,,71,68,,4,,,
sommejo01,1887,1,BL2,AA,131,463,530,88,123,11,5,0,65,29,,63,,,4,,,
stoveha01,1887,1,PH4,AA,124,497,560,125,142,31,12,4,77,74,,56,,,7,,,
striccu01,1887,1,CL3,AA,131,534,590,122,141,19,4,2,53,86,,53,,,3,,,
sullima01,1887,1,CHN,NL,115,472,512,98,134,13,16,7,77,35,,36,53,,4,,,
thompsa01,1887,1,DTN,NL,127,545,586,118,203,29,23,11,166,22,,32,19,,9,,,
tucketo01,1887,1,BL2,AA,136,524,582,114,144,15,9,6,84,85,,29,,,29,,,
wardjo01,1887,1,NY1,NL,129,545,578,114,184,16,5,1,53,111,,29,12,,4,,,
welchcu01,1887,1,SL4,AA,131,544,580,98,151,32,7,3,108,89,,25,,,11,,,
werrijo01,1887,1,LS2,AA,136,533,574,90,152,21,13,7,99,49,,38,,,3,,,
whitebi02,1887,1,LS2,AA,132,512,559,85,129,7,9,2,79,41,,47,,,0,,,
willine01,1887,1,CHN,NL,127,439,517,77,117,20,14,9,78,45,,73,57,,5,,,
wisesa01,1887,1,BSN,NL,113,467,510,103,156,27,17,9,92,43,,36,44,,7,,,
wolfji01,1887,1,LS2,AA,137,569,611,103,160,27,13,2,102,45,,34,,,8,,,
woodge01,1887,1,PHI,NL,113,491,537,118,142,22,19,14,66,19,,40,51,,6,,,
andreed01,1888,1,PHI,NL,124,528,552,75,126,14,4,3,44,35,,21,41,,3,,,
ansonca01,1888,1,CHN,NL,134,515,563,101,177,20,12,12,84,28,,47,24,,1,,,
barklsa01,1888,1,KC2,AA,116,482,512,67,104,21,6,4,51,15,,26,,,4,,,
bassech01,1888,1,IN3,NL,128,481,519,58,116,20,3,2,60,24,,32,41,,6,,,
bierblo01,1888,1,PH4,AA,134,535,561,83,143,20,9,0,80,34,,25,,,1,,,
broutda01,1888,1,DTN,NL,129,522,602,118,160,33,11,9,66,34,,68,13,,12,,,
burnsto01,1888,1,CHN,NL,134,483,512,60,115,12,6,3,70,34,,26,49,,3,,,
carpehi01,1888,1,CN2,AA,136,551,561,68,147,14,5,3,67,59,,5,,,5,,,
collihu01,1888,1,LS2,AA,116,485,530,117,149,26,11,2,50,62,,41,,,4,,,
comisch01,1888,1,SL4,AA,137,576,592,102,157,22,5,6,83,72,,12,,,4,,,
connoro01,1888,1,NY1,NL,134,481,558,98,140,15,17,14,71,27,,73,44,,4,,,
corkhpo01,1888,1,CN2,AA,118,490,509,68,133,11,9,1,74,27,,15,,,4,,,
davisju01,1888,1,KC2,AA,121,491,517,70,131,22,8,3,61,42,,20,,,6,,,
dennyje01,1888,1,IN3,NL,126,524,535,92,137,27,7,12,63,32,,9,79,,2,,,
faatzja01,1888,1,CL3,AA,120,470,503,73,124,10,2,0,51,64,,12,,,21,,,
farrasi01,1888,1,PHI,NL,131,508,552,53,124,24,7,1,53,21,,31,38,,13,,,
fennefr01,1888,1,CN2,AA,120,448,512,64,88,8,7,2,56,43,,63,,,1,,,
fogarji01,1888,1,PHI,NL,121,454,514,72,107,14,6,1,35,58,,53,66,,7,,,
foutzda01,1888,1,BR3,AA,140,563,593,91,156,20,13,3,99,35,,28,,,2,,,
gleasbi01,1888,1,PH4,AA,123,499,520,55,112,10,2,0,61,27,,12,,,9,,,
griffmi01,1888,1,BL2,AA,137,542,602,103,139,21,11,0,46,46,,55,,,5,,,
hinespa01,1888,1,IN3,NL,133,513,562,84,144,26,3,4,58,31,,41,45,,8,,,
hoydu01,1888,1,WS8,NL,136,503,583,77,138,10,8,2,29,82,,69,48,,11,,,
johnsdi01,1888,1,BSN,NL,135,585,601,102,173,31,18,12,68,35,,15,33,,1,,,
kuehnbi01,1888,1,PIT,NL,138,524,535,60,123,22,11,3,62,34,,9,68,,2,,,
larkihe01,1888,1,PH4,AA,135,546,592,92,147,28,12,7,101,20,,33,,,13,,,
lathaar01,1888,1,SL4,AA,133,570,621,119,151,19,5,2,31,109,,43,,,8,,,
lyonsde01,1888,1,PH4,AA,111,456,504,93,135,22,5,6,83,39,,41,,,7,,,
lyonsha01,1888,1,SL4,AA,123,499,522,66,97,10,5,4,63,36,,20,,,3,,,
mackre01,1888,1,LS2,AA,112,446,513,77,97,13,5,3,34,18,,52,,,15,,,
mccarto01,1888,1,SL4,AA,131,511,552,107,140,20,3,1,68,93,,38,,,3,,,
mckeaed01,1888,1,CL3,AA,131,548,582,94,164,21,15,6,68,52,,28,,,6,,,
mcphebi01,1888,1,CN2,AA,111,458,506,88,110,12,10,4,51,54,,43,,,5,,,
mctamji01,1888,1,KC2,AA,130,516,594,94,127,12,10,4,41,55,,67,,,11,,,
morrijo01,1888,1,BSN,NL,135,486,543,60,96,18,7,4,39,21,,55,68,,2,,,
myersal01,1888,1,WS8,NL,132,502,545,46,104,12,7,2,46,20,,37,46,,6,,,
shbi01,1888,1,BSN,NL,135,526,580,71,149,18,15,4,75,20,,50,46,,4,,,
nicolhu01,1888,1,CN2,AA,135,548,622,112,131,10,2,1,35,103,,67,,,7,,,
obriebi01,1888,1,WS8,NL,133,528,537,42,119,15,2,9,66,10,,9,70,,0,,,
obrieda01,1888,1,BR3,AA,136,532,569,105,149,27,6,2,65,55,,30,,,7,,,
oneilti01,1888,1,SL4,AA,130,529,577,96,177,24,10,5,98,26,,44,,,4,,,
pfefffr01,1888,1,CHN,NL,135,517,552,90,129,22,10,8,57,64,,32,38,,3,,,
phillbi01,1888,1,KC2,AA,129,509,543,57,120,20,10,1,56,10,,27,,,7,,,
pinknge01,1888,1,BR3,AA,143,575,653,134,156,18,8,4,52,51,,66,,,12,,,
reilljo01,1888,1,CN2,AA,127,527,562,112,169,28,14,13,103,82,,17,,,18,,,
richada01,1888,1,NY1,NL,135,561,577,82,127,16,7,8,61,35,,15,35,,1,,,
robinya01,1888,1,SL4,AA,134,455,583,111,105,17,6,3,53,56,,116,,,12,,,
ryanji01,1888,1,CHN,NL,129,549,589,115,182,33,10,16,64,60,,35,50,,5,,,
seeryem01,1888,1,IN3,NL,133,500,570,87,110,20,10,5,50,80,,64,73,,6,,,
shindbi01,1888,1,BL2,AA,135,514,542,61,107,14,8,1,53,52,,20,,,8,,,
smithpo01,1888,1,PIT,NL,131,481,508,61,99,15,2,4,52,37,,22,78,,5,,,
stoveha01,1888,1,PH4,AA,130,530,595,127,152,25,20,9,65,87,,62,,,3,,,
striccu01,1888,1,CL3,AA,127,493,549,80,115,13,6,1,33,60,,50,,,6,,,
sundabi01,1888,1,PIT,NL,120,505,519,69,119,14,3,0,15,71,,12,36,,2,,,
tucketo01,1888,1,BL2,AA,136,520,554,74,149,17,12,6,61,43,,16,,,18,,,
twitcla01,1888,1,DTN,NL,131,524,555,71,128,19,4,5,67,14,,28,45,,3,,,
wardjo01,1888,1,NY1,NL,122,510,520,70,128,14,5,2,49,38,,9,13,,1,,,
welchcu01,1888,1,PH4,AA,136,549,611,125,155,22,8,1,61,95,,33,,,29,,,
whitede01,1888,1,DTN,NL,125,527,557,75,157,22,5,4,71,12,,21,24,,9,,,
willine01,1888,1,CHN,NL,132,452,523,75,113,9,14,8,73,25,,65,71,,6,,,
wolfji01,1888,1,LS2,AA,128,538,565,80,154,28,11,0,67,41,,25,,,2,,,
ansonca01,1889,1,CHN,NL,134,518,609,100,161,32,7,7,117,27,,86,19,,5,,,
bassech01,1889,1,IN3,NL,127,477,517,64,117,12,5,4,68,15,,37,38,,3,,,
beardol01,1889,1,CN2,AA,141,558,594,96,159,13,14,1,77,36,,35,39,,1,,,
becklja01,1889,1,PIT,NL,123,522,557,91,157,24,10,9,97,11,,29,29,,6,,,
bierblo01,1889,1,PH4,AA,130,549,582,80,167,27,7,7,105,17,,29,30,,4,,,
broutda01,1889,1,BSN,NL,126,485,565,105,181,26,9,7,118,22,,66,6,,14,,,
burnsji01,1889,1,KC2,AA,134,579,606,103,176,23,11,5,97,56,,20,68,,7,,,
burnsoy01,1889,1,BR3,AA,131,504,576,105,153,19,13,5,100,32,,68,26,,4,,,
burnsto01,1889,1,CHN,NL,136,525,559,64,127,27,6,4,66,18,,32,57,,2,,,
carpehi01,1889,1,CN2,AA,123,486,508,67,127,23,6,0,63,47,,18,41,,4,,,
collihu01,1889,1,BR3,AA,138,560,647,139,149,18,3,2,73,65,,80,41,,7,,,
comisch01,1889,1,SL4,AA,137,587,609,105,168,28,10,3,102,65,,19,19,,3,,,
connoro01,1889,1,NY1,NL,131,496,591,117,157,32,17,13,130,21,,93,46,,2,,,
corkhpo01,1889,1,BR3,AA,138,537,582,91,134,21,9,8,78,22,,42,24,,3,,,
dailyed01,1889,1,CL6,AA,136,578,617,105,148,22,8,3,70,60,,38,65,,1,,,
dennyje01,1889,1,IN3,NL,133,578,605,96,163,24,0,18,112,22,,27,63,,0,,,
duffech01,1889,1,SL4,AA,137,509,572,93,124,15,11,16,86,21,,60,81,,3,,,
duffyhu01,1889,1,CHN,NL,136,584,632,144,172,21,7,12,89,52,,46,30,,2,,,
farrasi01,1889,1,PHI,NL,130,477,535,70,128,22,2,3,58,28,,52,36,,6,,,
fennefr01,1889,1,PH4,AA,138,513,581,70,132,20,5,1,64,15,,65,78,,3,,,
fogarji01,1889,1,PHI,NL,128,499,571,107,129,15,17,3,54,99,,65,60,,7,,,
foutzda01,1889,1,BR3,AA,138,553,620,118,152,19,8,6,113,43,,64,23,,3,,,
fullesh01,1889,1,SL4,AA,140,517,574,91,117,18,6,0,51,38,,52,56,,5,,,
glassja01,1889,1,IN3,NL,134,582,618,128,205,40,3,7,85,57,,31,10,,5,,,
gorege01,1889,1,NY1,NL,120,488,580,132,149,21,7,7,54,28,,84,28,,8,,,
griffmi01,1889,1,BL2,AA,137,531,625,152,148,21,14,4,48,39,,91,29,,3,,,
hamilbi01,1889,1,KC2,AA,137,534,635,144,161,17,12,3,77,111,,87,41,,14,,,
hanlone01,1889,1,PIT,NL,116,461,521,81,110,14,10,2,37,53,,58,25,,2,,,
hinespa01,1889,1,IN3,NL,121,486,540,77,148,27,1,6,72,34,,49,22,,5,,,
hollibu01,1889,1,CN2,AA,135,563,608,107,181,28,7,19,104,46,,43,59,,2,,,
hornujo01,1889,1,BL2,AA,135,533,562,73,122,13,9,1,78,34,,22,72,,7,,,
hoydu01,1889,1,WS8,NL,127,507,588,98,139,11,6,0,39,35,,75,30,,6,,,
johnsdi01,1889,1,BSN,NL,132,539,582,80,123,16,4,5,67,34,,41,60,,2,,,
johnssp01,1889,1,CL6,AA,116,459,510,91,130,14,10,2,79,34,,39,47,,12,,,
kellyki01,1889,1,BSN,NL,125,507,574,120,149,41,5,9,78,68,,65,40,,2,,,
larkihe01,1889,1,PH4,AA,133,516,615,105,164,23,12,3,74,11,,83,41,,16,,,
lathaar01,1889,1,SL4,AA,118,512,565,110,126,13,3,4,49,69,,42,30,,11,,,
longhe01,1889,1,KC2,AA,136,574,648,137,158,32,6,3,60,89,,64,63,,10,,,
lyonsde01,1889,1,PH4,AA,131,510,596,135,168,36,4,9,82,10,,79,44,,7,,,
mackre01,1889,1,BL2,AA,136,519,587,84,125,24,7,1,87,23,,60,69,,8,,,
manniji01,1889,1,KC2,AA,132,506,573,68,103,16,7,3,68,58,,54,61,,13,,,
marrle01,1889,1,CL6,AA,139,546,639,110,167,26,15,1,75,29,,87,32,,6,,,
mccarto01,1889,1,SL4,AA,140,604,656,136,176,24,7,2,63,57,,46,26,,6,,,
mcgeaja01,1889,1,IN3,NL,131,532,543,83,142,32,1,2,63,37,,9,39,,2,,,
mckeaed01,1889,1,CL4,NL,123,500,546,88,159,22,8,4,75,35,,42,25,,4,,,
mcphebi01,1889,1,CN2,AA,135,540,604,109,145,25,7,5,57,63,,60,29,,4,,,
mctamji01,1889,1,CL6,AA,139,529,646,113,146,21,7,4,52,40,,116,66,,1,,,
mulvejo01,1889,1,PHI,NL,129,544,568,77,157,21,9,6,77,23,,23,25,,1,,,
shbi01,1889,1,BSN,NL,128,481,562,84,132,20,2,3,76,26,,79,44,,2,,,
nicolhu01,1889,1,CN2,AA,122,474,533,82,121,7,8,2,58,80,,54,35,,5,,,
obrieda01,1889,1,BR3,AA,136,567,644,146,170,30,11,5,80,91,,61,76,,16,,,
oneilti01,1889,1,SL4,AA,134,534,611,123,179,33,8,9,110,28,,72,37,,5,,,
orourji01,1889,1,NY1,NL,128,502,543,89,161,36,7,3,81,33,,40,34,,1,,,
orrda01,1889,1,CL6,AA,134,560,571,70,183,31,12,4,87,12,,9,38,,2,,,
pfefffr01,1889,1,CHN,NL,134,531,587,85,121,15,7,7,77,45,,53,51,,3,,,
pinknge01,1889,1,BR3,AA,138,545,611,103,134,25,7,4,82,47,,59,43,,7,,,
purcebl01,1889,1,PH4,AA,129,507,562,72,160,19,7,0,85,22,,50,27,,5,,,
radfopa01,1889,1,CL4,NL,136,487,584,94,116,21,5,1,46,30,,91,37,,6,,,
raymoha01,1889,1,LS2,AA,130,515,537,58,123,12,9,0,47,19,,19,45,,3,,,
richada01,1889,1,NY1,NL,125,497,544,88,139,22,8,7,100,32,,46,37,,1,,,
richaha01,1889,1,BSN,NL,132,536,589,122,163,33,10,6,79,47,,48,44,,5,,,
robinya01,1889,1,SL4,AA,132,452,576,97,94,17,3,5,70,39,,118,55,,6,,,
ryanji01,1889,1,CHN,NL,135,576,652,140,177,31,14,17,72,45,,70,62,,6,,,
seeryem01,1889,1,IN3,NL,127,526,603,123,165,26,12,8,59,19,,67,59,,10,,,
shannda01,1889,1,LS2,AA,121,498,540,90,128,22,12,4,48,26,,42,52,,0,,,
shindbi01,1889,1,BL2,AA,138,567,616,122,178,24,7,3,64,56,,42,37,,7,,,
stearec01,1889,1,KC2,AA,139,560,616,96,160,24,12,3,87,67,,56,69,,0,,,
stoveha01,1889,1,PH4,AA,137,556,634,152,171,38,13,19,119,63,,77,68,,1,,,
striccu01,1889,1,CL4,NL,136,566,626,83,142,10,4,1,47,32,,58,18,,2,,,
tebeage01,1889,1,CN2,AA,135,496,571,110,125,21,11,7,70,61,,69,62,,6,,,
tebeapa01,1889,1,CL4,NL,136,521,560,72,147,20,6,8,76,26,,37,41,,2,,,
thompsa01,1889,1,PHI,NL,128,533,575,103,158,36,4,20,111,24,,36,22,,6,,,
tiernmi01,1889,1,NY1,NL,122,499,600,147,167,23,14,10,73,33,,96,32,,5,,,
tucketo01,1889,1,BL2,AA,134,527,602,103,196,22,11,5,99,63,,42,26,,33,,,
twitcla01,1889,1,CL4,NL,134,549,581,73,151,16,11,4,95,17,,29,37,,3,,,
vanhage01,1889,1,CHN,NL,134,543,630,126,168,20,10,9,81,28,,82,41,,5,,,
wardjo01,1889,1,NY1,NL,114,479,508,87,143,13,4,1,67,62,,27,7,,2,,,
weavefa01,1889,1,LS2,AA,124,499,546,62,145,17,6,0,60,21,,40,22,,7,,,
welchcu01,1889,1,PH4,AA,125,516,602,134,140,39,6,0,39,66,,67,30,,19,,,
whitr01,1889,1,NY1,NL,129,473,531,71,103,12,2,1,59,19,,56,39,,2,,,
wisesa01,1889,1,WS8,NL,121,472,537,79,118,15,8,4,62,24,,61,62,,4,,,
